,Company,Location,Salary,Titles,New Salary,SalaryII,SalaryIII,Avg Salary
9325,Department of Defense,"St. Louis, MO","[$52,329 - $129,553 a year]",GEOINT Analyst (Data Science),"[u'52,329  129,553 ']",52329.0,129553.0,90941.0
9356,Washington University in St. Louis,"St. Louis, MO","[$45,864 - $61,921 a year]",Staff Scientist - Radiology,"[u'45,864  61,921 ']",45864.0,61921.0,53892.5
9368,Washington University in St. Louis,"St. Louis, MO","[$45,864 - $61,921 a year]",Staff Scientist - Neuroscience,"[u'45,864  61,921 ']",45864.0,61921.0,53892.5
9383,Washington University in St. Louis,"St. Louis, MO","[$46,215 - $60,079 a year]",Human Research QA/QI Program Analyst - Vice Chancellor for R...,"[u'46,215  60,079 ']",46215.0,60079.0,53147.0
9385,Washington University in St. Louis,"St. Louis, MO","[$45,864 - $61,921 a year]",Staff Scientist - Computational Genetics - Cardiology,"[u'45,864  61,921 ']",45864.0,61921.0,53892.5
9453,Strategic Staffing Solutions,"St. Louis, MO","[$80,000 - $120,000 a year]",Data Scientist / Data Steward - Analytical Development,"[u'80,000  120,000 ']",80000.0,120000.0,100000.0
9483,Washington University in St. Louis,"St. Louis, MO","[$45,864 - $61,921 a year]",Staff Scientist - Pediatrics Infectious Disease,"[u'45,864  61,921 ']",45864.0,61921.0,53892.5
9529,"Veterans Affairs, Veterans Health Administration","St. Louis, MO","[$69,017 - $109,221 a year]",RN Research,"[u'69,017  109,221 ']",69017.0,109221.0,89119.0
9565,"CPS, Inc.","Granite City, IL","[$56,000 - $105,000 a year]",Bakery Scientist,"[u'56,000  105,000 ']",56000.0,105000.0,80500.0
10024,Kutir Corporation,"Seattle, WA","[$100,000 - $120,000 a year]",Data Scientist,"[u'100,000  120,000 ']",100000.0,120000.0,110000.0
10041,CuraCloud Corporation,"Seattle, WA","[$60,000 - $70,000 a year]",Research Scientist,"[u'60,000  70,000 ']",60000.0,70000.0,65000.0
10205,King County,"Seattle, WA","[$71,406 - $90,522 a year]",Water Quality Planner/Project Manager II - Marine Scientist,"[u'71,406  90,522 ']",71406.0,90522.0,80964.0
10551,King County,"Seattle, WA","[$80,413 - $101,920 a year]",Project Program Manager III,"[u'80,413  101,920 ']",80413.0,101920.0,91166.5
10593,LT,"Seattle, WA","[$150,000 - $180,000 a year]",Erlang Engineer,"[u'150,000  180,000 ']",150000.0,180000.0,165000.0
10653,All-In Analytics,"Seattle, WA","[$150,000 - $275,000 a year]",Senior Data Scientist,"[u'150,000  275,000 ']",150000.0,275000.0,212500.0
10803,"JP3 Measurement, LLC","Austin, TX","[$80,000 - $90,000 a year]",Data Scientist,"[u'80,000  90,000 ']",80000.0,90000.0,85000.0
10810,HuntSource,"Austin, TX","[$128,000 - $162,000 a year]","Software Architect, Machine Learning & AI","[u'128,000  162,000 ']",128000.0,162000.0,145000.0
10822,Senseye,"Austin, TX","[$50,000 - $60,000 a year]",Research Scientist I,"[u'50,000  60,000 ']",50000.0,60000.0,55000.0
10837,National Domestic Violence Hotline,"Austin, TX","[$45,000 - $55,000 a year]",Prospect Research Analyst,"[u'45,000  55,000 ']",45000.0,55000.0,50000.0
10881,"Applied Research Laboratories, The University of T...","Austin, TX 78758 (North Austin area)","[$75,000 - $130,000 a year]",Engineering Scientist - R and D Algorithm and System Develop...,"[u'75,000  130,000 ']",75000.0,130000.0,102500.0
10917,Avancos,"Austin, TX","[$70,000 - $95,000 a year]",Senior Research Analyst,"[u'70,000  95,000 ']",70000.0,95000.0,82500.0
10974,CareerMonks,"Austin, TX","[$100,000 - $130,000 a year]",Big Data Engineer,"[u'100,000  130,000 ']",100000.0,130000.0,115000.0
11050,Winston Fox,"Austin, TX","[$120,000 - $200,000 a year]",Software Development Engineers (Core Java),"[u'120,000  200,000 ']",120000.0,200000.0,160000.0
